seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
13,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,75,47
23,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,112,10
16,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,110,12
24,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,108,15
8,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,33,16
13,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,39,28
13,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,125,11
19,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,193,0
7,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,149,14
21,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,130,7
23,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,44,16
26,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,163,5
17,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,80,43
28,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,130,10
17,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,40,13
24,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,169,6
8,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,176,6
17,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,57,31
2,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,125,14
18,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,171,8
21,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,71,5
31,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,84,16
26,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,99,24
26,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,119,18
18,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,50,20
14,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,119,20
10,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,69,23
14,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,9,29
26,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,177,5
29,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,128,16
8,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,141,4
10,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,35,28
14,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,141,12
22,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,120,23
15,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,148,11
28,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,139,17
25,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,83,16
8,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,158,15
6,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,96,11
3,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,16,4
25,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,156,9
12,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,144,10
3,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,114,8
25,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,138,14
7,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,161,8
20,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,117,7
6,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,111,12
25,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,173,10
9,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,132,30
21,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,79,11
24,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,162,18
2,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,95,14
13,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,8,10
4,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,138,3
13,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,99,19
26,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,156,12
