seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
9,9,32,256,0.4,20.0,az_good.ckpt,az_good.ckpt,28,18
3,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,25,8
4,9,32,256,0.3666,0.1,az_good.ckpt,az_good.ckpt,208,12
8,9,32,256,0.0,20.0,az_good.ckpt,az_good.ckpt,234,2
8,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,9,8
9,9,32,256,0.1,0.1,az_good.ckpt,az_good.ckpt,244,1
9,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,103,26
4,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,5,0
7,9,32,256,0.1666,0.1,az_good.ckpt,az_good.ckpt,248,0
8,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,1,8
8,9,32,256,0.2666,0.1,az_good.ckpt,az_good.ckpt,235,2
5,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,48,12
2,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,50,11
8,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,3,8
8,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,241,2
9,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,237,2
5,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,5,2
5,9,32,256,0.6,20.0,az_good.ckpt,az_good.ckpt,3,2
10,9,32,256,0.1,20.0,az_good.ckpt,az_good.ckpt,0,1
3,9,32,256,0.4,0.1,az_good.ckpt,az_good.ckpt,183,16
9,9,32,256,0.9333,0.1,az_good.ckpt,az_good.ckpt,56,16
8,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,241,2
1,9,32,256,0.5333,0.1,az_good.ckpt,az_good.ckpt,37,11
2,9,32,256,0.1333,0.1,az_good.ckpt,az_good.ckpt,230,2
10,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,5,13
3,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,44,24
9,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,236,0
9,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,156,17
3,9,32,256,0.7333,0.1,az_good.ckpt,az_good.ckpt,18,30
8,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,3,8
3,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,5,35
7,9,32,256,0.7,0.1,az_good.ckpt,az_good.ckpt,23,4
10,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,5,13
