seed,sampling_method,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
27,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,26,50
11,dirichlet-sample,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,35,38
16,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,26,37
13,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,21,33
3,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,28,36
12,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,38,46
13,dirichlet-sample,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,19,36
4,dirichlet-sample,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,42,43
10,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,38,29
5,dirichlet-sample,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,27,33
28,dirichlet-sample,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,42,39
15,dirichlet-sample,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,40,18
25,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,34,33
18,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,21,39
29,dirichlet-sample,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,44,31
28,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,45,36
22,dirichlet-sample,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,24,47
3,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,22,39
29,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,44,31
18,dirichlet-sample,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,18,35
16,dirichlet-sample,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,28,28
26,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,51,29
24,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,33,27
8,dirichlet-sample,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,24,20
13,dirichlet-sample,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,20,36
21,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,56,30
10,dirichlet-sample,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,39,28
16,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,28,28
