seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
25,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,182,11
24,9,32,256,1.9,1.0,az_good.ckpt,az_good.ckpt,4,10
12,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,204,10
6,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,178,6
28,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,87,8
16,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,145,12
13,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,9,14
25,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,152,17
10,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,114,21
9,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,49,12
6,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,28,7
23,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,191,9
1,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,19,3
16,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,54,9
13,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,36,18
3,9,32,256,2.0,1.0,az_good.ckpt,az_good.ckpt,31,14
5,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,95,15
3,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,173,14
8,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,104,7
25,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,87,22
7,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,21,3
13,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,39,13
27,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,64,15
9,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,110,13
31,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,44,10
28,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,81,16
6,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,6,2
23,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,91,13
31,9,32,256,2.6,1.0,az_good.ckpt,az_good.ckpt,0,0
25,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,93,2
9,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,40,22
9,9,32,256,2.5,1.0,az_good.ckpt,az_good.ckpt,106,14
14,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,131,13
16,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,141,12
19,9,32,256,2.0,1.0,az_good.ckpt,az_good.ckpt,28,4
6,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,157,18
17,9,32,256,2.0,1.0,az_good.ckpt,az_good.ckpt,141,10
14,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,94,17
27,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,150,14
24,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,71,19
7,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,11,8
18,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,9,2
12,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,114,12
9,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,91,23
20,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,63,9
4,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,95,9
6,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,158,21
8,9,32,256,1.9,1.0,az_good.ckpt,az_good.ckpt,71,8
26,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,128,16
9,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,174,12
20,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,225,5
31,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,170,10
27,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,51,17
22,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,40,11
1,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,209,9
10,9,32,256,1.9,1.0,az_good.ckpt,az_good.ckpt,12,1
2,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,114,14
23,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,81,15
25,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,196,5
2,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,172,11
8,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,3,11
14,9,32,256,1.5,1.0,az_good.ckpt,az_good.ckpt,84,8
20,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,9,13
1,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,29,4
1,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,236,3
